2 * 27 = 		7 * 20 = 		19 + 17 = 		40 * 7 = 		
7 * 26 = 		26 * 25 = 		2 - 34 = 		32 - 43 = 		
60 + 65 = 		7 + 3 = 		7 - 2 = 		19 + 36 = 		
16 * 78 = 		9 * 33 = 		3 + 12 = 		17 + 34 = 		
10 + 18 = 		6 + 9 = 		5 * 26 = 		33 * 32 = 		
40 * 2 = 		6 + 4 = 		26 * 11 = 		2 * 73 = 		
2 * 57 = 		24 + 8 = 		2 * 4 = 		18 + 28 = 		
4 - 31 = 		63 - 6 = 		9 * 27 = 		3 * 37 = 		
21 + 66 = 		71 * 13 = 		5 + 28 = 		3 - 39 = 		
37 * 27 = 		15 * 11 = 		2 * 6 = 		4 - 22 = 		
25 + 3 = 		12 * 94 = 		18 + 6 = 		2 + 3 = 		
17 * 18 = 		2 + 12 = 		15 * 5 = 		12 - 11 = 		
6 - 23 = 		46 + 46 = 		2 + 2 = 		3 + 15 = 		
6 * 32 = 		15 - 57 = 		5 + 49 = 		19 * 55 = 		
2 * 6 = 		46 + 14 = 		44 * 31 = 		64 * 17 = 		
4 * 6 = 		51 * 15 = 		75 * 4 = 		15 + 2 = 		
25 + 14 = 		30 + 4 = 		50 * 3 = 		27 * 44 = 		
63 + 6 = 		27 + 7 = 		7 + 2 = 		39 + 2 = 		
4 * 24 = 		53 + 13 = 		13 * 7 = 		69 + 2 = 		
28 * 63 = 		51 * 3 = 		5 - 4 = 		33 + 3 = 		
3 + 3 = 		43 + 13 = 		4 * 15 = 		26 * 36 = 		
8 * 7 = 		64 * 6 = 		4 + 13 = 		43 * 44 = 		
5 * 2 = 		36 * 10 = 		18 + 2 = 		24 - 36 = 		
14 * 45 = 		2 * 25 = 		2 * 18 = 		10 * 11 = 		
61 * 28 = 		9 + 18 = 		2 + 55 = 		5 * 11 = 		
38 + 7 = 		40 * 4 = 		43 + 47 = 		30 * 12 = 		
77 + 9 = 		63 + 9 = 		24 * 31 = 		6 * 8 = 		
51 * 22 = 		34 - 7 = 		2 - 10 = 		26 * 9 = 		
46 + 9 = 		3 * 8 = 		7 * 4 = 		58 - 9 = 		
7 * 4 = 		3 + 40 = 		3 * 21 = 		23 * 2 = 		
4 * 6 = 		75 + 17 = 		8 + 12 = 		25 + 16 = 		
22 * 8 = 		2 * 4 = 		7 - 3 = 		6 * 2 = 		
97 * 35 = 		3 * 5 = 		61 + 34 = 		3 - 25 = 		

 answers: 
54	140	36	280	
182	650	-32	-11	
125	10	5	55	
1248	297	15	51	
28	15	130	1056	
80	10	286	146	
114	32	8	46	
-27	57	243	111	
87	923	33	-36	
999	165	12	-18	
28	1128	24	5	
306	14	75	1	
-17	92	4	18	
192	-42	54	1045	
12	60	1364	1088	
24	765	300	17	
39	34	150	1188	
69	34	9	41	
96	66	91	71	
1764	153	1	36	
6	56	60	936	
56	384	17	1892	
10	360	20	-12	
630	50	36	110	
1708	27	57	55	
45	160	90	360	
86	72	744	48	
1122	27	-8	234	
55	24	28	49	
28	43	63	46	
24	92	20	41	
176	8	4	12	
3395	15	95	-22	
